Hotel Name,mean_price,Time_Cost_NRT,Money_Cost_NRT,Time_Walk_NRT,Time_Cost_HND,Money_Cost_HND,Time_Walk_HND
HOTEL LiVEMAX Shinjuku Kabukicho,374453.0,77.0,26290.0,13.0,57.0,4876.0,13.0
오야도 고코치(Oyado Cocochi),269496.0,71.0,26290.0,5.0,49.0,4876.0,5.0
Time Camp Takanawa 4F - Vacation STAY 81487v,456136.0,74.0,32408.0,5.0,26.0,2868.0,2.0
SHINJUKU WARM VILLA I,575434.0,74.0,26290.0,8.0,52.0,4876.0,8.0
＃３４ SHINJUKU RION HOTEL,509382.0,81.0,26672.0,14.0,64.0,14436.0,6.0
五反田BaliBaliANNEX,493109.0,79.0,27246.0,7.0,36.0,4111.0,4.0
SHINJUKU WARM HOUSE,286169.0,79.0,26290.0,13.0,57.0,4876.0,13.0
The Okura Heritage Tokyo,379478.0,80.0,26577.0,14.0,51.0,5640.0,7.0
Nano North Shinjuku Apartment,192423.0,82.0,26577.0,13.0,55.0,4876.0,13.0
Hotel Koryukaku,243982.0,77.0,26290.0,11.0,55.0,4876.0,11.0
Keio Presso Inn Gotanda,355343.0,80.0,27246.0,8.0,36.0,4302.0,9.0
호텔 뉴 쇼헤이(Hotel New Shohei),329976.0,68.0,26290.0,8.0,56.0,6214.0,9.0
신주쿠 어반 호텔(Shinjuku Urban Hotel),455602.0,85.0,26577.0,16.0,62.0,14436.0,7.0
신주쿠 이스트 호텔 (Shinjuku East Hotel),497789.0,81.0,26672.0,14.0,62.0,14436.0,7.0
안다즈 도쿄 - 컨셉 바이 하얏트 (Andaz Tokyo - A Concept by Hyatt),347993.0,79.0,26577.0,13.0,48.0,4111.0,18.0
The Royal Park Hotel Iconic Tokyo Shiodome,184278.0,66.0,26290.0,8.0,35.0,4111.0,5.0
The Gate Hotel Tokyo by Hulic,316049.0,63.0,26290.0,7.0,32.0,6214.0,11.0
호텔 무스 긴자 메이테츠 (Hotel Musse Ginza Meitetsu),282007.0,70.0,26290.0,12.0,39.0,4111.0,9.0
The Royal Park Canvas Ginza Corridor,320846.0,66.0,26290.0,10.0,33.0,6214.0,14.0
파크 호텔 도쿄(Park Hotel Tokyo),386963.0,69.0,26290.0,11.0,37.0,4111.0,7.0
remm plus Ginza,399997.0,68.0,26290.0,10.0,36.0,4111.0,6.0
the b ginza,274095.0,68.0,26290.0,10.0,37.0,4111.0,7.0
Mitsui Garden Hotel Shiodome Italia-gai - Tokyo,286449.0,69.0,26290.0,8.0,36.0,4111.0,8.0
THE BLOSSOM HIBIYA,234671.0,66.0,26290.0,8.0,30.0,6214.0,11.0
Sotetsu Fresa Inn Shimbashi-Karasumoriguchi,180533.0,65.0,26290.0,7.0,37.0,4111.0,7.0
칸데오 호텔 도쿄 신바시(Candeo Hotels Tokyo Shimbashi),349680.0,65.0,26290.0,7.0,38.0,4111.0,8.0
Mitsui Garden Hotel Ginza Premier,443584.0,69.0,26290.0,11.0,37.0,4111.0,7.0
호텔 마이스테이 프리미어 하마마쓰초(Hotel Mystays Premier Hamamatsucho),260991.0,68.0,26290.0,7.0,34.0,4111.0,6.0
Bay Hotel Tokyo Hamamatsucho,226436.0,66.0,26290.0,5.0,34.0,4111.0,6.0
더 페닌슐라 도쿄(The Peninsula Tokyo),232648.0,63.0,26290.0,7.0,32.0,6214.0,11.0
호텔 마이스테이스 하마마츠초(HOTEL MYSTAYS Hamamatsucho),285677.0,68.0,26290.0,7.0,32.0,4111.0,4.0
Section L Hamamatsucho,402534.0,67.0,26290.0,6.0,33.0,4111.0,5.0
소테츠 프레사 인 긴자 - 나나초메(Sotetsu Fresa Inn Ginza-Nanachome),512794.0,69.0,26290.0,11.0,37.0,4111.0,7.0
소테츠 프레사 인 심바시 히비야구치(Sotetsu Fresa Inn Shimbashi Hibiyaguchi),312978.0,64.0,26290.0,6.0,37.0,4111.0,7.0
SOTETSU GRAND FRESA TAKADANOBABA(Sotetsu Grand Fresa Takadanobaba),275966.0,69.0,26290.0,5.0,50.0,4876.0,5.0
Henn na Hotel Tokyo Hamamatsucho,291745.0,66.0,26290.0,5.0,33.0,4111.0,5.0
ibis Styles Tokyo Ginza,370708.0,69.0,26290.0,11.0,37.0,4111.0,7.0
인터컨티넨탈 도쿄 베이(InterContinental Tokyo Bay  an IHG Hotel),226740.0,73.0,26290.0,12.0,42.0,4111.0,14.0
Super Hotel Tokyo Hamamatsucho,405832.0,68.0,26290.0,7.0,32.0,4111.0,4.0
더 스트링스 바이 인터컨티넨탈  도쿄(The Strings by InterContinental  Tokyo  an IHG Hotel),844103.0,71.0,31070.0,7.0,25.0,2868.0,7.0
임페리얼 호텔 도쿄 (Imperial Hotel Tokyo),465194.0,67.0,26290.0,11.0,42.0,4493.0,7.0
다이와 로이넷 호텔 도쿄 오사키(Daiwa Roynet Hotel Tokyo Osaki),269545.0,78.0,26577.0,8.0,31.0,4302.0,9.0
하얏트 센트릭 긴자 도쿄(Hyatt Centric Ginza Tokyo),641945.0,67.0,26290.0,11.0,33.0,4493.0,7.0
APA Hotel Shinagawa Togoshi Ekimae,397349.0,86.0,29349.0,5.0,41.0,4111.0,4.0
mesm Tokyo  Autograph Collection,402064.0,73.0,26290.0,12.0,42.0,4111.0,14.0
karaksa hotel premier Tokyo Ginza,616958.0,66.0,26290.0,8.0,35.0,4111.0,5.0
베이사이드 호텔 아주르 타케시바(Bayside Hotel Azur Takeshiba),356986.0,87.0,29349.0,6.0,35.0,4111.0,14.0
콘래드 도쿄(Conrad Tokyo),639051.0,76.0,12906.0,9.0,32.0,4111.0,9.0
호텔 더 셀레스틴 긴자(Hotel The Celestine Ginza),450964.0,75.0,31070.0,10.0,30.0,4111.0,7.0
도쿄 매리어트 호텔(Tokyo Marriott Hotel),764903.0,80.0,33078.0,11.0,26.0,2868.0,13.0
APA 호텔 심바시 오나리몬(APA Hotel Shimbashi Onarimon),315299.0,76.0,12906.0,9.0,28.0,4111.0,7.0
뉴 오타니 인 도쿄(New Otani Inn Tokyo),345805.0,80.0,31070.0,8.0,27.0,4302.0,8.0
호텔 빌라 퐁텐 도쿄-하마마츠초(Hotel Villa Fontaine Tokyo-Hamamatsucho),413586.0,78.0,31070.0,12.0,29.0,4780.0,15.0
GINZA HOTEL by GRANBELL,428764.0,80.0,31070.0,8.0,33.0,4111.0,10.0
ホテルリラサーレ東京,615320.0,74.0,31070.0,8.0,25.0,4780.0,11.0
Rhodes Kagurazaka,499750.0,78.0,26290.0,14.0,54.0,5927.0,10.0
KEIKYU EX INN Shinagawa Shimbamba Station North,663767.0,77.0,33173.0,6.0,19.0,4206.0,3.0
unito SHIODOME,254793.0,78.0,31070.0,13.0,31.0,4111.0,8.0
SHINJUKU GLOBAL HOTEL,496872.0,72.0,26290.0,7.0,47.0,4876.0,7.0
Shinbashi Urban Hotel,443239.0,74.0,31070.0,9.0,31.0,4111.0,8.0
Business Hotel Crescent,745811.0,96.0,31070.0,14.0,58.0,5067.0,14.0
플렉스테이 인 시나가와(FLEXSTAY INN Shinagawa),456204.0,75.0,33078.0,6.0,19.0,4206.0,4.0
긴자 인터내셔널 호텔(Ginza International Hotel),508195.0,72.0,26290.0,8.0,29.0,4111.0,6.0
Hotel Emit Shibuya - Vacation STAY 40892v,342617.0,88.0,26577.0,19.0,41.0,4589.0,14.0
Hotel Emit Shibuya - Vacation STAY 40890v,331688.0,90.0,32026.0,7.0,41.0,4589.0,14.0
힐튼 도쿄 호텔(Hilton Tokyo Hotel),159830.0,97.0,33173.0,8.0,50.0,5067.0,8.0
Hotel GrandBach Tokyo Ginza,285657.0,81.0,31357.0,9.0,30.0,4493.0,4.0
KOKO HOTEL Tsukiji Ginza,441621.0,82.0,31357.0,6.0,39.0,4493.0,13.0
Quintessa Hotel Tokyo Ginza,291719.0,81.0,31357.0,9.0,28.0,4493.0,2.0
Millennium Mitsui Garden Hotel Tokyo - Ginza,399609.0,79.0,31357.0,7.0,28.0,4493.0,2.0
미쓰이 가든 호텔 오테마치(Mitsui Garden Hotel Otemachi - Tokyo),382265.0,75.0,31070.0,6.0,36.0,6405.0,13.0
karaksa hotel TOKYO STATION,335285.0,78.0,12428.0,5.0,35.0,11854.0,10.0
Mitsui Garden Hotel Ginza-gochome,279289.0,80.0,31357.0,8.0,29.0,4493.0,3.0
호텔 인터게이트 도쿄 교바시(Hotel Intergate Tokyo Kyobashi),414670.0,64.0,26290.0,7.0,30.0,4493.0,2.0
the square hotel GINZA,400765.0,67.0,26290.0,11.0,29.0,4493.0,3.0
Dormy Inn Premium Ginza,356681.0,68.0,26290.0,12.0,31.0,4493.0,5.0
Agora Tokyo Ginza,304101.0,65.0,26290.0,9.0,30.0,4493.0,4.0
소테츠 프레사 인 오차노미즈 짐보초(Sotetsu Fresa Inn Ochanomizu Jimbocho),359234.0,78.0,31070.0,11.0,42.0,4493.0,7.0
소테츠 프레사 인 긴자 산초메(Sotetsu Fresa Inn Ginza Sanchome),362676.0,67.0,26290.0,9.0,29.0,4493.0,3.0
호텔 몬토레 긴자(Hotel Monterey Ginza),246902.0,66.0,26290.0,10.0,30.0,4493.0,4.0
소테츠 프레사 인 도쿄 교바시(Sotetsu Fresa Inn Tokyo-Kyobashi),309323.0,65.0,26290.0,8.0,30.0,4493.0,2.0
sequence SUIDOBASHI - Tokyo,239208.0,63.0,26194.0,4.0,46.0,4493.0,9.0
karaksa hotel colors Tokyo Yaesu,332903.0,64.0,26290.0,9.0,35.0,4493.0,7.0
Mitsui Garden Hotel Kyobashi - Tokyo Station,380986.0,65.0,26290.0,8.0,34.0,4493.0,6.0
리가 로얄 호텔 도쿄 (Rihga Royal Hotel Tokyo),284172.0,86.0,26577.0,8.0,58.0,5927.0,11.0
Mercure Tokyo Ginza,956591.0,66.0,26290.0,10.0,30.0,4493.0,4.0
오크우드 프리미어 도쿄(Oakwood Premier Tokyo),327025.0,77.0,12428.0,4.0,30.0,4589.0,9.0
Hotel Vista Tokyo Tsukiji,285109.0,67.0,26290.0,11.0,33.0,4493.0,7.0
TSUKI Tokyo,267132.0,64.0,26290.0,10.0,34.0,4493.0,8.0
솔라리아 니시테츠 호텔 긴자(Solaria Nishitetsu Hotel Ginza),469727.0,67.0,26290.0,9.0,28.0,4493.0,2.0
호텔 아마넥 긴자 이스트(Hotel Amanek Ginza East),182187.0,68.0,26290.0,14.0,36.0,4493.0,10.0
호텔 메트로폴리탄 에드몬트 도쿄(Hotel Metropolitan Edmont Tokyo),376002.0,67.0,26194.0,8.0,47.0,5640.0,5.0
Via Inn Iidabashi Korakuen,244691.0,71.0,26290.0,17.0,52.0,5640.0,10.0
APA 호텔 이다바시 에키마에(APA Hotel Iidabashi Ekimae),297802.0,69.0,26194.0,10.0,46.0,5640.0,4.0
Vessel Inn Takadanobaba Ekimae,371385.0,63.0,26290.0,6.0,44.0,4876.0,6.0
APA Hotel Ginza Kyobashi Tokyo-Eki Yaesu Minami-guchi,418770.0,65.0,26290.0,8.0,30.0,4493.0,2.0
BOOK HOTEL 神保町,340572.0,71.0,26290.0,8.0,43.0,4493.0,8.0
호텔 빌라 폰테인 도쿄 구단시타(Hotel Villa Fontaine Tokyo-Kudanshita),371244.0,69.0,26194.0,10.0,45.0,4493.0,10.0
호텔 게이한 츠키지 긴자 그란데(Hotel Keihan Tsukiji Ginza Grande),371604.0,63.0,26290.0,9.0,34.0,5640.0,4.0
아파 호텔 도쿄 쿠단시타 (APA Hotel Tokyo Kudanshita),236936.0,72.0,26290.0,11.0,48.0,5640.0,7.0
APA Hotel Ginza Shintomicho Ekimae - Former APA Hotel Shintomicho Ekimae,243789.0,68.0,26290.0,14.0,36.0,4493.0,10.0
호텔 선루트 긴자 (Hotel Sunroute Ginza),324777.0,68.0,26290.0,11.0,31.0,4493.0,5.0
APA 아파 호텔 칸다 짐보초 에키히가시(APA Hotel Kanda Jimbocho Ekihigashi),433607.0,63.0,27724.0,11.0,44.0,4493.0,9.0
Aloft Tokyo Ginza,363184.0,66.0,26290.0,10.0,29.0,4493.0,3.0
APA 호텔 리다바시-에키 미나미(APA Hotel Iidabashi-Eki Minami),238301.0,71.0,26290.0,17.0,47.0,5640.0,5.0
Tabist Ginza,415953.0,69.0,26290.0,13.0,34.0,4493.0,8.0
Boutique Sauna ARCH,281499.0,70.0,26290.0,16.0,52.0,5640.0,10.0
Eternity APARTMENT HOTEL 品川,262434.0,81.0,27628.0,8.0,29.0,4493.0,7.0
Four Seasons Hotel Tokyo at Otemachi,500982.0,62.0,27724.0,7.0,40.0,4493.0,8.0
ELE hotel Ginza East,659303.0,65.0,26290.0,13.0,42.0,4493.0,10.0
HOTEL LiVEMAX Tokyo Shintomicho,441038.0,67.0,26290.0,15.0,40.0,4493.0,8.0
Keio Presso Inn Tokyo Kudanshita,531670.0,73.0,26290.0,9.0,44.0,5640.0,5.0
아파 호텔 핫초보리 신토미초(APA Hotel Hatchobori Shintomicho),329545.0,65.0,26290.0,13.0,43.0,4493.0,11.0
애스코트 마루노우치 도쿄(Ascott Marunouchi Tokyo),372548.0,62.0,27724.0,7.0,39.0,4493.0,7.0
APA Hotel Ginza-Takaracho Tokyo Yaesu Minami-guchi,519034.0,67.0,26290.0,10.0,36.0,4493.0,4.0
팰리스 호텔 도쿄(Palace Hotel Tokyo),243856.0,63.0,27724.0,8.0,39.0,4493.0,7.0
도큐 스테이 스이도바시 (Tokyu Stay Suidobashi),212214.0,67.0,26194.0,8.0,45.0,4493.0,8.0
HOTEL LiVEMAX Takadanobaba Ekimae,408531.0,65.0,26290.0,8.0,49.0,4876.0,8.0
토큐 스테이 츠키지 (Tokyu Stay Tsukiji),390719.0,65.0,26290.0,11.0,40.0,4493.0,10.0
Hotel SUI Ginza Kyobashi by ABEST,473720.0,65.0,26290.0,8.0,33.0,4493.0,1.0
포시즌 호텔 도쿄 마루노우치(Four Seasons Hotel Tokyo at Marunouchi),434618.0,66.0,26194.0,12.0,40.0,4493.0,8.0
Hotel New Takada,371807.0,63.0,26290.0,6.0,47.0,4876.0,6.0
도쿄 인(Tokyo Inn),345933.0,87.0,28680.0,9.0,33.0,4493.0,3.0
HOTEL LiVEMAX Higashi Ginza,341543.0,64.0,26290.0,10.0,37.0,4493.0,7.0
KEIKYU EX INN Higashi-Ginza,485787.0,65.0,26290.0,11.0,38.0,4493.0,8.0
Bulgari Hotel Tokyo,486590.0,61.0,26194.0,7.0,34.0,6405.0,11.0
Spatium Ginza Pony,541531.0,67.0,26290.0,13.0,41.0,5640.0,7.0
No  2 Taniji Building - Vacation STAY 91383v,506735.0,78.0,28106.0,13.0,15.0,2390.0,4.0
No  2 Taniji Building - Vacation STAY 92282v,587106.0,69.0,26290.0,16.0,61.0,5545.0,16.0
No  2 Taniji Building - Vacation STAY 91347v,197757.0,69.0,26290.0,16.0,61.0,5545.0,16.0
Tokyo Inn - Vacation STAY 10227v,787893.0,87.0,28680.0,9.0,33.0,4493.0,3.0
Tokyo Inn - Vacation STAY 10241v,346403.0,87.0,28680.0,9.0,33.0,4493.0,3.0
Tokyo Inn - Vacation STAY 11127v,668017.0,87.0,28680.0,9.0,33.0,4493.0,3.0
Tokyo Inn - Vacation STAY 11113v,321434.0,87.0,28680.0,9.0,33.0,4493.0,3.0
Tokyo Inn - Vacation STAY 10247v,467150.0,87.0,28680.0,9.0,33.0,4493.0,3.0
Tokyo Inn - Vacation STAY 11125v,614399.0,87.0,28680.0,9.0,33.0,4493.0,3.0
HIZ HOTEL - Vacation STAY 08955v,281865.0,65.0,26290.0,13.0,38.0,4493.0,6.0
MIMARU TOKYO GINZA EAST,258225.0,67.0,26290.0,15.0,39.0,4493.0,7.0
플렉스스테이 인 나카노부(FLEXSTAY INN Nakanobu),389571.0,90.0,28680.0,14.0,36.0,4493.0,8.0
Shangri-La Tokyo,673204.0,61.0,26194.0,7.0,32.0,6405.0,11.0
BnA WALL,983519.0,58.0,26290.0,11.0,39.0,4493.0,9.0
Hotel JAL City Tokyo Toyosu,264139.0,95.0,28298.0,5.0,34.0,9464.0,10.0
소테츠 프레사 인 니혼바시 가야바초(Sotetsu Fresa Inn Nihombashi Kayabacho),989498.0,61.0,26290.0,10.0,35.0,4493.0,8.0
Hearton Hotel Higashi-Shinagawa,643651.0,85.0,29254.0,8.0,27.0,2868.0,12.0
LOISIR HOTEL SHINAGAWA SEASIDE,696503.0,86.0,29254.0,9.0,25.0,2868.0,10.0
아키하바라 워싱턴 호텔(Akihabara Washington Hotel),256651.0,54.0,26194.0,4.0,37.0,4589.0,5.0
Sotetsu Fresa Inn Kanda-Otemachi,523257.0,58.0,26194.0,6.0,37.0,4589.0,7.0
소테츠 프레사 인 니혼바시-닌교초(Sotetsu Fresa Inn Nihombashi-Ningyocho),910574.0,65.0,26290.0,8.0,34.0,4493.0,2.0
리치몬드 호텔 도쿄 메지로(Richmond Hotel Tokyo Mejiro),1610680.0,61.0,26290.0,6.0,49.0,4876.0,6.0
리치몬드 호텔 도쿄 스이도바시(Richmond Hotel Tokyo Suidobashi),234862.0,67.0,26577.0,11.0,44.0,4493.0,7.0
KEIKYU EX INN Tokyo Nihombashi,214594.0,61.0,26290.0,10.0,35.0,4493.0,8.0
remm Akihabara,324083.0,56.0,26194.0,6.0,39.0,4589.0,7.0
도미 인 고라쿠엔(Dormy Inn Korakuen),276767.0,64.0,26290.0,12.0,45.0,4493.0,6.0
긴자 크레스톤 (Ginza Creston),232435.0,68.0,26290.0,14.0,43.0,5640.0,9.0
그랜드 닛코 도쿄 오다이바(Grand Nikko Tokyo Daiba),302283.0,83.0,29445.0,8.0,41.0,4971.0,4.0
JR-East Hotel Mets Akihabara,501912.0,59.0,26194.0,3.0,36.0,4589.0,4.0
Hotel Resol Stay Akihabara,420080.0,65.0,26194.0,9.0,42.0,4493.0,6.0
토세이 호텔 코콘 칸다(Tosei Hotel Cocone Kanda),238586.0,64.0,26194.0,6.0,37.0,4589.0,7.0
APA 호텔 오차노미즈-에키타(APA Hotel Ochanomizu-Ekikita),261130.0,68.0,26290.0,12.0,44.0,5640.0,11.0
Hotel Kazusaya,382305.0,69.0,26290.0,10.0,40.0,4589.0,8.0
HOTEL SUI KANDA by ABEST,374362.0,66.0,26194.0,8.0,38.0,4589.0,8.0
Super Hotel Premier Akihabara,229654.0,64.0,26194.0,8.0,42.0,4493.0,6.0
Mitsui Garden Hotel Nihonbashi Premier,399410.0,66.0,26290.0,7.0,36.0,5640.0,7.0
묘진-노-유 도미 인 프리미엄 칸다(Myoujin-no-Yu Dormy Inn Premium Kanda),789655.0,65.0,26290.0,7.0,38.0,5640.0,7.0
GATE STAY Premium Nihonbashi,327122.0,68.0,26290.0,9.0,40.0,4589.0,8.0
Hotel K5,499092.0,68.0,22944.0,7.0,32.0,4493.0,5.0
Mandarin Oriental  Tokyo,351538.0,65.0,26290.0,6.0,35.0,5640.0,6.0
소테츠 프레사 인 도쿄 간다(Sotetsu Fresa Inn Tokyo Kanda),408971.0,66.0,26194.0,8.0,38.0,4589.0,8.0
벨켄 호텔 칸다(Belken Hotel Kanda),230665.0,68.0,26194.0,10.0,41.0,4493.0,4.0
호텔 메트로폴리탄 도쿄 이케부쿠로(Hotel Metropolitan Tokyo Ikebukuro),406699.0,69.0,26290.0,5.0,50.0,5545.0,5.0
Keio Presso Inn Nihonbashi Kayabacho,380407.0,71.0,22944.0,10.0,36.0,4493.0,9.0
Wires Hotel Shinagawa Seaside,1325284.0,84.0,32408.0,12.0,24.0,2868.0,9.0
La Vista Tokyo Bay,362248.0,96.0,14914.0,7.0,35.0,9464.0,9.0
NOHGA HOTEL AKIHABARA TOKYO,296478.0,65.0,26290.0,9.0,42.0,5640.0,9.0
호텔 빌라 폰테인 도쿄-핫초보리(Hotel Villa Fontaine Tokyo-hatchobori),376254.0,72.0,22944.0,11.0,36.0,4493.0,9.0
도미 인 도쿄 핫초보리 핫 스프링(Dormy Inn Tokyo Hatchobori Hot Spring),275532.0,85.0,15105.0,7.0,45.0,4493.0,13.0
호텔 빌라 퐁텐 도쿄-오테마치(Hotel Villa Fontaine Tokyo-Otemachi),1597442.0,66.0,26194.0,8.0,39.0,4589.0,9.0
아파 호텔 칸다-에키 히가시(APA Hotel Kanda-Eki Higashi),280491.0,68.0,26194.0,10.0,37.0,6405.0,14.0
APA 호텔 핫초보리-에키 미나미(APA Hotel Hatchobori-eki Minami),742816.0,73.0,22944.0,10.0,41.0,4493.0,9.0
아파 호텔 간다 에키마에(APA Hotel Kanda Ekimae),218712.0,64.0,26194.0,6.0,33.0,6405.0,10.0
Via Inn Prime Nihonbashi Ningyocho,329773.0,65.0,22944.0,6.0,39.0,4493.0,4.0
호텔 마이스테이스 오차노미즈 컨퍼런스 센터(HOTEL MYSTAYS Ochanomizu Conference Center),221638.0,66.0,26194.0,10.0,39.0,6405.0,14.0
호텔 윙 인터내셔널 고라쿠엔(Hotel Wing International Korakuen),300321.0,72.0,26577.0,10.0,47.0,4493.0,8.0
호텔 빌라 퐁텐 도쿄-가야바초(Hotel Villa Fontaine Tokyo-Kayabacho),221832.0,72.0,22944.0,11.0,42.0,4493.0,9.0
스마일 호텔 도쿄 니혼바시(Smile Hotel Tokyo Nihonbashi),228550.0,70.0,26290.0,8.0,42.0,4493.0,9.0
게이오 프레소 인 이케부쿠로(Keio Presso Inn Ikebukuro),333969.0,79.0,28298.0,7.0,61.0,5545.0,10.0
Via Inn Tokyo Oimachi,438375.0,80.0,31070.0,6.0,30.0,2868.0,15.0
Keio Presso Inn Otemachi,262542.0,66.0,26194.0,8.0,35.0,6405.0,12.0
니시테츠 인 니혼바시(Nishitetsu Inn Nihonbashi),252149.0,65.0,22944.0,6.0,39.0,4493.0,4.0
호텔 레솔 이케부쿠로 (Hotel Resol Ikebukuro),439684.0,78.0,27820.0,10.0,63.0,5545.0,12.0
호텔 마이스테이스 간다(HOTEL MYSTAYS Kanda),340665.0,68.0,26194.0,10.0,37.0,6405.0,14.0
오차노미즈 인(Ochanomizu Inn),256762.0,69.0,26194.0,13.0,42.0,6405.0,17.0
JHotelTokyoGEO,401254.0,80.0,12428.0,7.0,37.0,6405.0,14.0
Keio Presso Inn Kanda,375529.0,66.0,26194.0,8.0,35.0,6405.0,12.0
MIMARU TOKYO HATCHOBORI,211807.0,72.0,26290.0,10.0,43.0,4493.0,10.0
아티스트 호텔 - BnA 스튜디오 아키하바라(Artist Hotel - BnA STUDIO Akihabara),441087.0,66.0,26290.0,10.0,50.0,6214.0,8.0
