,Hotel ID,Hotel Name,Hotel Address,Hotel Score,601,602,603,604,605,606,607,608,609,610,611,612,613,614,615,616,617,618,619,620,621,622,623,624,625,626,627,628,629,630,701,702,703,704,705,706,707,708,709,710,711,712,713,714,715,716,717,718,719,720,721,722,723,724,725,726,727,728,729,730,Time_Cost_NRT,Money_Cost_NRT,Time_Walk_NRT,Time_Cost_HND,Money_Cost_HND,Time_Walk_HND
0,0,신주쿠 그랑벨 호텔(Shinjuku Granbell Hotel),160-0021 도쿄 도 Shinjuku-ku Kabukicho 2-14-5 일본,7.8,131115,176277,218526,152968,145684,145684,160252,160252,236008,226101,160252,160252,138400,138400,145684,160252,218526,0,145684,145684,138925,747699,393215,287237,319246,125784,569969,139845,593718,199231,217624,107902,217211,245588,198273,194308,261893,139462,198273,194308,206539,134088,218601,142671,349530,145214,137038,198273,134088,134088,145731,353133,221644,194308,206510,102551,222581,234633,107902,213637,74,26290,16,64,14149,14
3,3,La'gent Hotel Shinjuku Kabukicho,160-0021 도쿄 도 Shinjuku-ku Kabuki-cho 2-40-5 일본,8.4,204633,251567,356700,0,208388,212143,204633,214020,230916,274978,212143,214020,197124,183982,227162,232794,281605,236548,195246,180227,218388,194777,220208,195246,208618,294277,137048,325762,313022,181990,241376,149423,221644,250600,150180,150180,156751,285886,137038,137038,191614,234077,223062,145582,230428,145214,137038,139835,206510,206510,234296,353133,194308,131406,206510,222581,194308,145731,107902,102551,71,26290,13,59,4876,13
4,4,APA Hotel Shinjuku Kabukicho Chuo,160-0021 도쿄 도 Shinjuku Kabukicho 2-26-5 일본,7.7,128600,151128,196185,128600,128600,128600,138925,138925,161454,213062,128600,128600,128600,0,138925,151128,196185,138925,0,128600,141760,130266,0,301030,0,423159,0,319246,0,178350,259082,103255,102551,128600,224533,221644,224533,400377,207449,0,466338,0,229396,261893,233713,107902,104644,224533,229116,198273,128130,229882,213637,104644,213307,122029,193254,321030,246987,345192,69,30688,8,62,14149,12
5,5,호텔 로즈 가든 신주쿠(Hotel Rose Garden Shinjuku),160-0023 도쿄 도 Shinjuku-ku Nishishinjuku 8-1-3 일본,7.9,138456,185390,241711,152536,143149,152536,152536,171310,0,261775,161923,152536,171310,180697,208857,0,288645,166616,157230,208857,192708,136109,401287,241805,378571,234671,233330,239460,233330,204633,208388,93868,141760,138925,284517,152067,161454,147139,466338,150189,141760,116397,192657,147749,229039,231442,207449,232493,138925,315032,267194,265801,346738,203829,137987,147749,258617,190264,188675,107902,72,28298,8,62,6501,7
7,7,신주쿠 워싱턴 호텔(Shinjuku Washington Hotel),160-8336 도쿄 도 Shinjuku-ku Nishishinjuku 3-2-9 일본,7.1,167792,0,160301,155057,167792,167792,0,0,0,0,155057,167792,0,176780,186518,190264,269665,167792,0,0,141760,153255,161454,315752,137048,557368,239460,234671,234671,270904,199231,93868,138925,111703,187741,150189,238119,372751,147843,138925,192657,262353,180697,152067,229978,231442,143619,321461,321461,718381,267194,207261,181990,718381,138925,290944,152067,152067,176243,0,74,26577,14,55,12428,1
8,8,신주쿠 프린스 호텔(Shinjuku Prince Hotel),160-8487 도쿄 도 Shinjuku-ku Kabuki-cho 1-30-1 일본,7.9,202350,202350,357779,212473,202350,202350,0,243645,0,316693,223061,166485,166485,183531,183531,271122,298907,212473,192708,0,329497,762959,393215,293099,319246,128351,581601,569969,593718,293395,184290,149814,181990,152067,346738,186518,164749,107949,152067,181990,138925,244659,150764,299229,229978,197124,134098,147749,147843,321461,321461,899278,138925,315032,315032,256613,718381,199470,187737,315032,70,26577,10,54,4876,10
9,9,APA 호텔 신주쿠 교에마에 (APA Hotel Shinjuku Gyoemmae),160-0022 도쿄 도 Shinjuku-ku Shinjuku 2-2-8 일본,7.8,161454,172718,266586,138925,138925,138925,138925,0,161454,211241,127661,127661,138925,138925,0,161454,195246,127661,0,138925,214020,194777,187752,195246,132366,294277,139845,137048,148312,270904,235064,93868,217211,153245,194308,194308,224533,98562,194308,194308,202408,131406,139835,267238,887014,280667,194308,194308,131406,131406,229940,107949,206351,229116,194308,189389,189389,229940,185484,209364,74,26577,14,57,6214,7
10,10,APA Hotel Higashi Shinjuku Kabukicho Tower,160-0021 도쿄 도 Shinjuku-ku Kabukicho 2-31-12 일본,8.0,138925,161454,206510,128600,116397,128600,138925,0,161454,200315,128600,116397,128600,0,128600,161454,206510,0,0,128600,138925,127661,993883,329561,166894,0,288406,319246,0,178350,195246,102504,104644,131224,229116,0,229116,98562,194308,211683,139835,131406,234077,229116,233357,107902,194308,229116,194308,194308,130745,195246,104644,213307,229116,193254,102551,128130,185484,102504,71,26290,13,59,4876,13
12,12,호텔 썬루트 플라자 신주쿠(Hotel Sunroute Plaza Shinjuku),151-0053 도쿄 도 Shibuya-ku Yoyogi 2-3-1 일본,8.3,321356,313980,374037,299229,313980,306605,0,313980,321356,363501,306605,291854,277103,284479,0,306605,352964,277103,277103,0,138925,747699,212871,287237,150074,125784,129538,131416,220687,200189,208388,188675,136971,138925,466338,150189,376431,216273,466338,138456,188675,127661,153255,152067,229978,256701,466338,262353,466338,262353,0,184290,209364,262353,466338,119588,122029,152067,192526,345192,69,26577,9,53,4876,9
13,13,APA 호텔 & 리조트 니시신주쿠-고초메-에키 타워(APA Hotel & Resort Nishishinjuku-Gochome-Eki Tower),151-0071 도쿄 도 Shibuya-ku Honmachi 3-14-1 일본,8.2,115458,137987,183043,115458,103255,127661,137987,150189,0,190299,103255,0,115458,115458,127661,150189,172718,103255,103255,0,204403,136109,401287,0,139845,234671,233330,234671,239460,204633,195246,887014,0,138925,0,140803,261893,100573,211683,0,0,188675,229396,224533,342539,372751,211683,224533,194308,194308,229940,199231,102551,102551,213307,189389,102551,363980,107949,391374,82,28298,11,60,5067,5
14,14,더 낫 도쿄 신주쿠(THE KNOT TOKYO Shinjuku),160-0023 도쿄 도 Shinjuku-ku Nishishinjuku 4-31-1 일본,8.4,236548,236548,374535,188675,188675,188675,0,236548,0,371494,188675,0,0,0,0,287237,287237,188675,188675,0,232493,150189,161454,259927,137048,546220,234671,581601,234671,299383,319287,103255,225380,111703,138925,254796,0,372751,207449,207449,466338,192526,0,261893,210725,172718,207449,194308,198273,131406,234633,107949,206351,213307,194308,102551,104644,130745,107949,102504,79,28680,8,56,14531,3
15,15,Tokyu Stay Shinjuku Eastside,160-0021 도쿄 도 Shinjuku-ku Kabukicho 2-3-24 일본,8.8,278226,605263,478353,300191,285182,273589,255040,308367,315323,332851,257359,0,273589,0,308367,308367,299093,255040,0,280667,160252,188675,336237,195246,129538,220303,251755,166894,220303,225284,259082,203829,133762,115458,244659,321461,0,216273,152067,167792,138925,346738,141760,176003,887014,363213,127661,201147,147749,254796,265610,259082,718381,124845,315032,256613,137987,190264,326487,124845,74,26672,13,64,6883,7
16,16,HOTEL CEN,169-0073 도쿄 도 Shinjuku-ku Hyakunincho 1-5-19 일본,8.2,163043,190331,327451,163043,149399,149399,149399,149399,225122,251455,135756,0,149399,149399,149399,225122,259232,135756,149399,149399,208618,192526,137054,279690,713625,129538,251755,262353,762959,196185,641215,103267,259077,259077,114529,343558,181990,222219,285360,84482,247813,338489,345397,153756,100573,0,338489,212028,219652,93868,161454,218388,518154,150534,224899,256613,186518,0,500951,322907,66,26290,8,54,4876,8
17,17,MIMARU TOKYO SHINJUKU WEST,160-0023 도쿄 도 Shinjuku-ku Nishi-Shinjuku 3-3-11 일본,8.9,563210,563210,563210,563210,563210,563210,563210,563210,563210,546314,563210,563210,563210,563210,563210,563210,0,563210,563210,563210,141760,0,278421,0,112642,114941,147843,147843,409477,206510,271122,194827,0,225380,236548,226577,0,0,185859,329497,141760,0,189652,321461,234671,199231,152067,150764,201147,251529,233357,0,167792,167792,147749,137987,0,315032,0,124845,74,26577,14,58,12428,3
19,19,APA 호텔 - 히가시신주쿠 가부키초 히가시(APA Hotel - Higashishinjuku Kabukicho Higashi),160-0021 도쿄 도 Shinjuku-ku Kabukicho 2-17-7 일본,7.7,150189,183982,229039,161454,138925,138925,150189,150189,172718,222168,127661,127661,138925,138925,150189,183982,0,127661,127661,138925,192526,166894,617466,246740,378571,239460,291663,336853,233330,208809,164270,167792,203829,122968,147843,0,175722,821705,346738,315032,269728,147843,254796,168963,242180,176243,127661,176780,235760,153255,315032,287352,138925,315032,138925,850812,208330,308808,552697,258617,72,26290,14,60,4876,14
20,20,E 호텔 히가시 신주쿠(E Hotel Higashi Shinjuku),160-0021 도쿄 도 Shinjuku-ku Kabukicho 2-3-15 일본,7.3,136109,154883,234671,136109,130477,130477,130477,136109,154883,182105,136109,130477,130477,130477,136109,154883,187737,136109,130477,130477,188675,166894,617466,204633,386297,299766,216273,336853,291663,281898,424661,127661,176003,125477,201147,293099,190264,353471,244659,321461,0,201147,0,168963,206510,287237,315032,176003,261491,186518,178350,810789,273942,251529,329497,766273,767092,181990,183982,230635,72,26672,11,62,5067,5
21,21,아파 호텔 히가시-신주쿠-에키마에(APA Hotel Higashi-Shinjuku-Ekimae),169-0072 도쿄 도 Shinjuku-ku Okubo 1-1-48 일본,7.7,148312,161454,217775,148312,125784,148312,148312,148312,183982,211241,125784,125784,137048,0,148312,161454,0,125784,125784,137048,226411,993883,271950,311399,220591,220687,125784,220687,139845,140803,164270,0,167792,152067,223061,287237,161454,821705,123906,167792,147749,315032,147749,315032,247123,0,143619,153255,235760,201147,238119,281605,141760,221849,174806,767092,274565,199470,188675,261491,73,26672,12,62,4876,16
22,22,Via Inn Shinjuku,160-0022 도쿄 도 5-11-16 Shinjuku Shinjuku-ku 일본,8.2,166044,144018,170280,152489,140629,145712,152489,159267,171127,165171,152489,140629,145712,152489,159267,144018,170280,152489,140629,140629,166894,91991,278421,0,181990,713625,147843,156197,401287,1971993,342150,129668,243870,160346,82604,163618,89175,146810,160346,308789,82604,82604,101209,302613,230169,230169,308789,82604,82604,101209,154318,678151,302613,101209,103274,84290,103274,180453,414937,126985,76,28298,12,62,6214,12
23,23,시타딘스 센트럴 신주쿠 도쿄 (Citadines Central Shinjuku Tokyo),160-0021 도쿄 도 Shinjuku-ku Kabuki-Cho 1-2-9 일본,8.0,194710,194710,305973,166894,166894,166894,166894,176166,194710,305973,166894,166894,166894,166894,166894,231797,250341,166894,166894,166894,153255,208618,262832,204633,546220,374707,134098,423159,306762,336106,283107,103267,219652,350570,114529,282356,426239,416025,236736,288119,219652,114529,160346,397063,178350,165959,160346,160346,212028,163618,186779,232621,370968,243983,160346,163618,136672,678151,181990,268738,72,26577,12,57,4876,13
24,24,프리미어 호텔 캐빈 신주쿠(Premier Hotel Cabin Shinjuku),160-0021 도쿄 도 Shinjuku-ku Kabuki-cho 2-40-3 일본,7.7,123912,138933,0,140003,110770,114529,116408,123912,0,178463,105133,105133,108891,114529,0,137054,178357,105133,105133,108891,294277,423159,343099,329561,153255,423159,137048,0,148312,0,346327,212473,887014,138925,287352,169691,231127,500951,518154,338489,194335,219652,466338,296356,232276,174327,466338,219652,338489,150189,164749,281605,766273,93868,241567,311202,162833,178350,218388,826578,71,26290,13,59,4876,13
25,25,Bespoke Hotel Shinjuku,160-0021 도쿄 도 Shinjuku-ku Kabukicho 2-2-17 일본,8.5,262456,296249,494499,237675,248939,237675,237675,237675,318777,435959,248939,203882,248939,248939,248939,318777,366087,226411,226411,226411,199689,91991,157699,276433,273942,181990,159385,255968,269728,431044,197124,170496,219652,287352,0,330455,552697,218388,0,150189,225342,224135,316087,153756,181990,355949,466338,345397,466338,0,552697,206510,315032,0,0,204164,226577,403443,164270,518154,75,26672,14,62,6883,7
1,1,호텔 그레이서리 신주쿠(Hotel Gracery Shinjuku),160-0021 도쿄 도 Shinjuku-ku Kabukicho 1-19-1 일본,8.3,214921,254796,375605,232493,214921,214921,0,0,254796,321233,232493,0,0,0,232493,0,331168,232493,214921,214921,214020,198752,187752,199231,132366,300283,569969,137048,151339,195246,212641,188675,188675,115458,141760,137987,552697,220687,189652,138456,231606,127661,258617,761483,98562,206510,130266,138925,147749,150189,552697,199231,124845,329497,147749,346738,0,110104,810789,107902,80,26577,16,56,4876,12
6,6,APA 호텔 신주쿠-가부키쵸 타워(APA Hotel Shinjuku-Kabukicho Tower),160-0021 도쿄 도 Shinjuku-ku Kabukicho 1-20-2 일본,7.7,138925,0,217775,127661,127661,127661,138925,150189,183982,211241,127661,127661,0,138925,150189,0,208388,127661,127661,127661,232493,150189,401240,259927,325762,546220,234671,569969,605834,293395,184290,95784,887014,128600,466338,137987,145731,136672,0,150189,138925,188675,466338,224533,233357,110104,111703,0,258617,153255,110104,195246,209364,0,137987,119588,119588,321030,232276,110104,67,30688,6,56,4876,12
11,11,HOTEL KABUKI,160-0021 도쿄 도 新宿区歌舞伎町1-16-9 일본,8.9,336237,0,378477,0,195997,195997,195997,251755,293996,367123,251755,0,293996,293996,209514,336237,378477,251755,293996,251755,138925,127661,993883,420358,166894,150074,131416,0,164979,268885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,26577,10,54,4876,10
30,30,Sotetsu Fresa Inn Higashi Shinjuku,160-0022 도쿄 도 Shinjuku-ku Shinjuku 7-27-9 일본,8.2,195246,195246,0,178350,160515,156197,156197,156197,0,272064,156197,156197,156197,156197,175722,175722,236548,156197,0,156197,160252,186518,164749,236008,728189,105133,129538,131416,216273,378477,206510,194827,152067,198752,315032,315032,265610,206510,167792,254977,188675,116397,262353,150764,214020,195246,113983,329497,269728,361106,338865,319287,0,124845,262353,244659,119588,107902,361853,150764,73,26672,12,66,14436,6
31,31,도큐 스테이 신주쿠(Tokyu Stay Shinjuku),160-0022 도쿄 도 Shinjuku-ku 3-7-1 일본,8.4,303120,283107,237956,229414,246498,253820,205009,263582,283107,0,236736,246498,236736,253820,273345,273345,295310,212330,253820,253820,251529,197124,630068,285437,546220,299766,216273,421067,161971,0,424661,167086,281605,281605,466338,95784,555945,217775,225342,150189,281605,186971,169691,0,242180,206510,0,338489,466338,0,181990,326487,321461,171310,93868,767092,204164,233357,326487,766273,83,27533,6,63,12428,3
32,32,호텔 & 스파 제이-멕스 신주쿠 가부키초(성인 전용)(HOTEL & SPA J-MEX Shinjuku Kabukicho (Adult Only)),160-0021 도쿄 도 Shinjyuku-ku Kabukicho 2-5-6 일본,8.7,222609,290429,331121,252529,222609,241758,241758,222609,348275,374589,252529,222609,0,0,241758,290429,306386,274471,0,0,0,316087,202568,280321,76627,187737,89175,191568,993883,141952,167622,130458,234671,343558,84482,282356,355949,324516,233330,282356,219652,288119,160346,274481,366988,439304,225284,163618,166952,212028,411872,336853,325047,214786,311202,112650,280321,248751,605601,131416,74,26672,13,66,14436,8
35,35,HOTEL MYSTAYS Nishi Shinjuku,160-0023 도쿄 도 Nishi Shinjuku 7-14-14 Shinjuku-ku 일본,7.6,164749,181032,217430,151339,151339,151339,151339,151339,205936,277774,151339,151339,151339,151339,169538,181032,253828,151339,169538,153255,246498,162517,137054,331168,246987,133762,374707,159385,401287,498077,236548,138925,138925,122968,147843,287237,179308,911386,244659,203829,147843,147843,361106,229882,405933,315032,133762,176780,315032,186518,178350,810789,241617,221849,232493,152067,274565,203541,899278,230635,71,26577,11,55,4876,11
36,36,HOTEL AMANEK Shinjuku Kabukicho,160-0021 도쿄 도 2-24-10 Kabukicho Shinjuku-ku 일본,8.5,245898,245898,467099,229208,206720,193763,167636,189739,254252,264628,212398,184419,184419,190017,190017,190017,264628,212398,212398,201928,246498,188675,161454,331168,114941,713625,256893,129538,747699,281605,241376,105362,887014,138925,138925,153255,552697,107949,0,141282,192526,141760,466338,0,214020,372751,0,186714,0,0,363980,184290,102551,102551,104644,363980,189389,128130,293622,149423,71,26290,13,59,4876,13
37,37,시타딘 신주쿠 도쿄(Citadines Shinjuku Tokyo),160-0022 도쿄 도 Shinjuku-ku Shinjuku 1-28-13  일본,8.6,373941,299766,364669,373941,271950,233330,373941,233330,336853,373941,251874,271950,0,0,251874,336853,336853,186971,299766,271950,300283,423159,993883,373371,421067,116857,330041,128351,363980,630681,641215,167086,130458,86206,166952,93868,315032,217775,363980,84482,86206,233713,138925,314842,242180,448269,338489,84482,345397,116408,225093,178350,370968,103267,247813,164212,186518,777230,0,745243,76,28298,12,62,14149,10
38,38,JR Kyushu Hotel Blossom Shinjuku (JR Kyushu Hotel Blossom Shinjuku),151-0053 도쿄 도 Shibuya-ku Yoyogi 2-6-2 일본,8.7,394153,306762,378102,329009,0,394153,294277,0,0,698918,363834,282638,0,0,0,0,720534,0,294277,294277,226411,157852,268195,311399,220591,216273,125784,216273,137048,287651,0,0,0,288406,577535,466338,146810,552697,905116,466338,150189,466338,129213,552697,0,887014,466338,887014,466338,141952,563977,887014,466338,993883,466338,993883,466338,887014,887014,887014,69,26577,9,49,12428,4
39,39,EAST ONE Higashishinjuku,160-0022 도쿄 도 7-19-9 Shinjuku Shinjuku-ku 일본,8.6,811023,0,0,0,0,0,0,0,0,0,946193,0,0,0,0,946193,946193,946193,0,0,336777,174327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,26672,12,66,14436,6
46,46,Stay SAKURA Tokyo Shinjuku Hyakukura,169-0073 도쿄 도 Shinjuku-ku Hyakunincho 2-24-30  일본,8.5,247813,0,400255,362707,165959,165959,165959,165959,187737,240378,187737,210265,285360,296624,371719,0,468591,334172,296624,0,137048,226411,157699,287352,133762,129538,176166,166894,129538,210725,283107,110104,150534,138925,288119,116408,405167,318837,466338,150764,281605,84482,466338,276260,0,287352,315032,214748,244659,147843,220591,326487,466338,174806,93868,208330,204164,395374,287429,411872,68,26290,10,56,4876,10
47,47,HOTEL D-WAVE Shinjuku（Adult Only),160-0021 도쿄 도 新宿区歌舞伎町 2-8-6 일본,8.9,297375,370968,431044,385987,297375,297375,0,282356,355949,403544,370968,282356,282356,282356,0,355949,416025,370968,0,282356,330041,119588,98562,156894,165208,84482,90995,95784,122029,165959,1886568,127074,136205,281605,281605,259077,130745,424515,241567,338489,194335,219652,247813,325047,178350,183982,245859,0,0,153255,0,167622,363980,171310,0,518154,159576,233357,0,159576,75,26577,15,59,4876,15
48,48,Book Tea Bed SHINJUKU-GYOEN,160-0022 도쿄 도 Shinjuku-ku Shinjuku 1-12-8 일본,7.4,281605,0,281605,281605,281605,281605,281605,0,0,273157,281605,281605,281605,281605,281605,0,281605,281605,281605,0,137048,162833,280321,242180,162972,84482,993883,405167,405167,242180,287352,237647,887014,153255,466338,201147,321461,353471,766273,315032,466338,0,0,267194,234671,287237,321461,176003,315032,226577,315032,260485,241617,146550,141760,258617,767092,272369,0,152067,72,28298,8,58,14149,6
49,49,Blue Empire Hotel,169-0073 도쿄 도 1 Chome-15-8 Hyakunincho Shinjuku-ku 일본,6.6,117335,159576,136109,117335,91991,91991,0,107949,272247,91991,91991,91991,91991,0,107949,0,91991,91991,0,179351,159267,163791,0,160515,367213,367213,147843,157699,363980,268885,187925,102504,198273,234793,288767,283370,159950,285886,191614,180819,206510,218601,206510,223998,0,285886,206510,206510,272218,272218,239077,145214,131406,134088,272218,239077,194308,263958,552697,197077,65,26290,7,53,4876,7
50,50,호텔 페리에(성인 전용)(HOTEL PERRIER (Adult Only)),160-0021 도쿄 도 Shinjuku-ku Kabuki-cho 2-7-12 일본,8.2,216273,0,324409,0,0,216273,0,223031,253445,314677,246686,216273,0,216273,216273,253445,324409,246686,216273,207825,149399,431795,0,380991,357179,423159,336777,423159,993883,356700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,26672,15,64,14436,6
51,51,호텔 안 신주쿠 가부키초 (성인 전용)(HOTEL AN Shinjuku Kabukicho (Adult Only)),160-0021 도쿄 도 Kabukicho 2-7-5 일본,8.5,190590,222431,293395,209364,181879,181879,0,0,222431,284593,209364,181879,0,181879,0,0,293395,209364,0,0,2343856,149423,113025,312639,587827,222609,0,107902,0,331121,136672,466338,223998,206510,283645,278138,267178,261142,184509,173494,277774,272218,277774,217554,127074,145731,277774,277774,2486344,1712088,140793,212894,206510,272218,2035603,140793,143667,261893,349530,194308,72,26577,12,56,4876,12
